Day,State,Status,N
1,NSW,Killed,42
1,NSW,Healed,2306
1,NSW,Suscep,6862001
1,NSW,NoSymp,634
1,NSW,InSymp,687
1,NSW,Critic,20
1,NSW,Isolated,0
1,VIC,Killed,18
1,VIC,Healed,1300
1,VIC,Suscep,5451419
1,VIC,NoSymp,60
1,VIC,InSymp,66
1,VIC,Critic,1
1,VIC,Isolated,0
1,QLD,Killed,6
1,QLD,Healed,976
1,QLD,Suscep,4256264
1,QLD,NoSymp,48
1,QLD,InSymp,53
1,QLD,Critic,1
1,QLD,Isolated,0
1,WA,Killed,9
1,WA,Healed,523
1,WA,Suscep,1541219
1,WA,NoSymp,17
1,WA,InSymp,19
1,WA,Critic,0
1,WA,Isolated,0
1,SA,Killed,4
1,SA,Healed,427
1,SA,Suscep,2239619
1,SA,NoSymp,6
1,SA,InSymp,7
1,SA,Critic,0
1,SA,Isolated,0
1,TAS,Killed,13
1,TAS,Healed,158
1,TAS,Suscep,460098
1,TAS,NoSymp,46
1,TAS,InSymp,50
1,TAS,Critic,1
1,TAS,Isolated,0
1,ACT,Killed,3
1,ACT,Healed,103
1,ACT,Suscep,183832
1,ACT,NoSymp,0
1,ACT,InSymp,0
1,ACT,Critic,0
1,ACT,Isolated,0
1,NT,Killed,0
1,NT,Healed,25
1,NT,Suscep,359549
1,NT,NoSymp,4
1,NT,InSymp,5
1,NT,Critic,0
1,NT,Isolated,0
1,OTH,Killed,0
1,OTH,Healed,0
1,OTH,Suscep,3246
1,OTH,NoSymp,0
1,OTH,InSymp,0
1,OTH,Critic,0
1,OTH,Isolated,0
2,NSW,Killed,42
2,NSW,Healed,2310
2,NSW,Suscep,6860041
2,NSW,NoSymp,2260
2,NSW,InSymp,996
2,NSW,Critic,41
2,NSW,Isolated,0
2,VIC,Killed,18
2,VIC,Healed,1300
2,VIC,Suscep,5451230
2,VIC,NoSymp,215
2,VIC,InSymp,98
2,VIC,Critic,3
2,VIC,Isolated,0
2,QLD,Killed,6
2,QLD,Healed,976
2,QLD,Suscep,4256118
2,QLD,NoSymp,165
2,QLD,InSymp,81
2,QLD,Critic,2
2,QLD,Isolated,0
2,WA,Killed,9
2,WA,Healed,523
2,WA,Suscep,1541174
2,WA,NoSymp,55
2,WA,InSymp,26
2,WA,Critic,0
2,WA,Isolated,0
2,SA,Killed,4
2,SA,Healed,427
2,SA,Suscep,2239600
2,SA,NoSymp,21
2,SA,InSymp,11
2,SA,Critic,0
2,SA,Isolated,0
2,TAS,Killed,13
2,TAS,Healed,158
2,TAS,Suscep,459977
2,TAS,NoSymp,140
2,TAS,InSymp,74
2,TAS,Critic,4
2,TAS,Isolated,0
2,ACT,Killed,3
2,ACT,Healed,103
2,ACT,Suscep,183832
2,ACT,NoSymp,0
2,ACT,InSymp,0
2,ACT,Critic,0
2,ACT,Isolated,0
2,NT,Killed,0
2,NT,Healed,25
2,NT,Suscep,359538
2,NT,NoSymp,14
2,NT,InSymp,6
2,NT,Critic,0
2,NT,Isolated,0
2,OTH,Killed,0
2,OTH,Healed,0
2,OTH,Suscep,3246
2,OTH,NoSymp,0
2,OTH,InSymp,0
2,OTH,Critic,0
2,OTH,Isolated,0
3,NSW,Killed,42
3,NSW,Healed,2319
3,NSW,Suscep,6859606
3,NSW,NoSymp,2543
3,NSW,InSymp,1118
3,NSW,Critic,62
3,NSW,Isolated,0
3,VIC,Killed,18
3,VIC,Healed,1300
3,VIC,Suscep,5451196
3,VIC,NoSymp,234
3,VIC,InSymp,109
3,VIC,Critic,7
3,VIC,Isolated,0
3,QLD,Killed,6
3,QLD,Healed,976
3,QLD,Suscep,4256104
3,QLD,NoSymp,169
3,QLD,InSymp,90
3,QLD,Critic,3
3,QLD,Isolated,0
3,WA,Killed,9
3,WA,Healed,523
3,WA,Suscep,1541156
3,WA,NoSymp,67
3,WA,InSymp,32
3,WA,Critic,0
3,WA,Isolated,0
3,SA,Killed,4
3,SA,Healed,427
3,SA,Suscep,2239597
3,SA,NoSymp,23
3,SA,InSymp,12
3,SA,Critic,0
3,SA,Isolated,0
3,TAS,Killed,13
3,TAS,Healed,158
3,TAS,Suscep,459950
3,TAS,NoSymp,150
3,TAS,InSymp,88
3,TAS,Critic,7
3,TAS,Isolated,0
3,ACT,Killed,3
3,ACT,Healed,103
3,ACT,Suscep,183832
3,ACT,NoSymp,0
3,ACT,InSymp,0
3,ACT,Critic,0
3,ACT,Isolated,0
3,NT,Killed,0
3,NT,Healed,25
3,NT,Suscep,359538
3,NT,NoSymp,12
3,NT,InSymp,8
3,NT,Critic,0
3,NT,Isolated,0
3,OTH,Killed,0
3,OTH,Healed,0
3,OTH,Suscep,3246
3,OTH,NoSymp,0
3,OTH,InSymp,0
3,OTH,Critic,0
3,OTH,Isolated,0
4,NSW,Killed,42
4,NSW,Healed,2339
4,NSW,Suscep,6859328
4,NSW,NoSymp,2733
4,NSW,InSymp,1156
4,NSW,Critic,92
4,NSW,Isolated,0
4,VIC,Killed,18
4,VIC,Healed,1301
4,VIC,Suscep,5451172
4,VIC,NoSymp,253
